onca;caseiro;fake news;comment_text;;;;;
neutro;negativo;não;Bem capaz que eu sabendo que uma onça está rondando minha casa, eu já não teria matado.;;;;;
neutro;neutro;não;Parabens pelo video sabio e discernido. Meus sentimentos aos familiares e amigos.;;;;;
positivo;negativo;não;Reportagem bem explicado e nos faz entender que a natureza é linda e que são o habitat dos animais devemos respeitar foi uma fatalidade ela foi capiturada mas ainda tem muito mais então já serve de alerta ele sabia que isso poderia acontecer a todo momento infelizmente é mesmo assim continuou com a convivência no local é triste mas essa é a lei da natureza meus sentimentos a família;;;;;
neutro;negativo;não;Nunca subestime o animal no seu habitat ele não levou à sério infelizmente o pior aconteceu com ele, onças ou qualquer animal de caça são traiçoeiro e certeiro pra dá o bote no caso da dessa onça estava faminta aí o senhor deu azar na hora do ataque, nunca duvide que se prevenir-se poderia ter evitado a tragédia.;;;;;
neutro;positivo;não;Eu fiquei  muito  triste  com a morte do seu George  quê  deus de odescance  e conforte  os familiares 😪💔;;;;;
negativo;positivo;não;"que falta de respeito com a vida do cara quererem capturar inves de m4t4r a onça, se fosse uma jiboia enorme certeza que iriam partir no meio,sem mais e nem menos invés de  levar pra um zoológico. mas já que nesse caso  foi uma onça.....<br><br><a href=""https://www.youtube.com/watch?v=CUf1T3dPFj4&amp;t=341"">5:41</a> agora lá no corpo do cara so falta terem mostrado o dedo meio pra ele e posteriormente falarem &quot;&quot;&quot;Bem feito&quot;&quot;&quot;";;;;;
neutro;neutro;sim;A onça provavelmente tinha uma idade avançada no mínimo 10 a 11 anos sem condições de caçar seu próprio alimento e esse senhor q foi atacado foi presa fácil para esse animal;;;;;
neutro;positivo;não;Olá boa noite tudo bem já deixei meu like para fortalecer já te abracei também agora Tmj sempre rapaz não é fácil não não pode brincar 🤙🤙🤙;;;;;
positivo;negativo;não;Ai está a explicação, a onça estava magra, ou seja, com muita fome, com certeza  a alteração do meio ambiente provocada pelo homem, deixou ela sem alimento, e desesperada com fome atacou o homem pra se alimentar.;;;;;
neutro;positivo;não;Ninguém merece morrer assim 😢;;;;;
neutro;neutro;não;Vão fazer o cadastro do bolsa familia dela no CRÁS 🤔;;;;;
negativo;neutro;sim;Foram muitos pessoas que já foram mortas por onças;;;;;
positivo;positivo;não;O Onça está no seu habitat, o Animal é selvagem não tem conversa, é igual eu ser atacado no Mar por um Tubarão, tudo é possível que Deus conforte os Familiares;;;;;
neutro;negativo;não;O cara acha que animal e BRINQUEDO...(EXEMPLO)...Um leão selvagem pode atacar o seu suposto criador por várias razões, sendo que a sua natureza selvagem e imprevisível é o principal fator. Apesar de um leão poder estar habituado a uma pessoa, eles não são domesticáveis e podem apresentar comportamentos agressivos em diversas situações.;;;;;
neutro;neutro;não;E a capa do vídeo? É real?;;;;;
neutro;neutro;não;O que importa e que o servico foi feito😅😅😂😂;;;;;
neutro;neutro;não;Cadê aquele Biólogo de condomínio que fala que onça não ataca pessoas......;;;;;
neutro;positivo;não;Boa tarde ótimo vídeo muito triste a onça estava com fome com animais selvagem não se brinca devemos respeitar meus sentimentos a todos familiares Deus abençoe e conforte todos 0brga;;;;;
neutro;neutro;não;ESSES ECOLOGISTA ACHA QUE OS ANTIGOS MATAVAM AS ONÇAS POR NADA.;;;;;
positivo;negativo;não;Ainda bem q nao mataram o bicho por causa de um cara que deu mole e subestimou o animal e os sinais. Europeu q se meteu aqui matando tudo e todos a onça so fez o normal dela pra sobreviver;;;;;
positivo;neutro;sim;Essa onça vingou todos as onças que esse humano um dia tirou a vida, a natureza veio cobrar (é aquele velho ditado: um dia da caça outro do caçador).;;;;;
neutro;neutro;não;Seu doido😅😅😂;;;;;
neutro;neutro;não;Lamentável, mas o vídeo é ótimo.;;;;;
neutro;neutro;não;Nossa que tragédia  misericórdia;;;;;
positivo;neutro;não;A onça pintada é linda demais, mas eu quero ficar  é  longe de uma fera dessa.;;;;;
neutro;neutro;não;Porque meu nome tá rolando tanto assim kkkkkk Leonardo Leopardo kkkk;;;;;
neutro;neutro;não;Estao destruindo o habitat dos animais, por isso eles estão indo procurar comida nas cidades. Uma pena.;;;;;
neutro;neutro;não;Se vc encontrar um bicho desse, procurar órgão que ampare as onças kkkk brincadeira né, não dá tempo nem de piscar, quanto mais de procurar órgão;;;;;
neutro;negativo;não;Seu Jorge deu sorte pro azar, infelizmente 😢;;;;;
positivo;neutro;não;Queira ou não, o território é da Onça !;;;;;
neutro;neutro;sim;Infelizmente  o Brasil  valoriza  mais animais  do que vidas humanas.;;;;;
positivo;negativo;não;Com certeza a preseevação é importante, mas seu Jorge pecou em não ter uma arma como prevenção, que Deus o tenha!!;;;;;
neutro;neutro;não;@justinamosmann5216  até o dia que você precisar.;;;;;
neutro;neutro;não;Uma vez que um animal pega gosto pela carne humana, dificilmente ele vai procurar outro tipo de caça, prova é que a onça 🐆 voltou no rancho atrás da caça novamente! Infelizmente tem que abatê-la!;;;;;
neutro;neutro;não;"Podia ter resolvido antes ; esperou morrer alguém 😢 !";;;;;
neutro;negativo;não;Rapaziada e vida selvagem, ele teve oportunidade de sair de lá pelas patas da onça mas não quis.;;;;;
negativo;neutro;não;se o homem tivesse matado a onça, estaria preso;;;;;
positivo;neutro;não;Que gatinhos lindos mais é perigoso;;;;;
neutro;neutro;não;VOCÊ QUER VER O QUÊ?<br>A ONÇA EXPREMENDO A CABEÇA DO HOMEM?;;;;;
neutro;negativo;não;Se tivesse  pedido  ajuda  de  proteção  assim que  descobriu  a  onça  não  teria  isso  acontecido.;;;;;
positivo;neutro;não;Creio que em mais algumas décadas não vai haver quase nenhuma 😕😕😕;;;;;
neutro;neutro;não;era pra,ter feito esse resgate dos animais antes que acontecece essa tragédia. Já que era seu local, de trabalho.;;;;;
neutro;negativo;sim;Oque eu tinha entendido quando o caso saiu: a onça matou um senhorzinho caseiro.<br><br>Depois que entendi o caso que um sobrinho dele contou:<br><br>Que ele alimentava a onça dava restos de peixes, pessoas reclamavam essa atitude dele mas cá cabeça dele ele estava amansando a onça ou ela n iria fazer nada com ele, e via rastros dela perto mas n se importava pq toda vida ele colocava restos de peixe pra ela ao redor da casa.<br><br>Final da história ela aprendeu e observou tudo que ele fazia até um dia ela ir caçar ele e esperar Ee no mesmo horário e no mesmo local que ele ia todos os dias pra ir pescar, e nisso ela armou uma emboscada e correu atrás dele e ele ia voltar pra dentro da casa mas a onça já sabia disso e ser ou a porta da casa e fez ele correr para o barco e nisso no meio do caminho ela pegou ele.<br><br>Mas tudo foi culpa dele pelo que o sobrinho falou, pq falta de aviso n foi e ele insistiu em acostumar a onça perto da casa praticamente ele desacreditou que a onça iria fazer algo com ele a mesma onça que ele colocava comida pra ela todos os dias.;;;;;
neutro;neutro;não;Excellent 🆗👍👏👏👏👏👏👏;;;;;
neutro;neutro;não;Exato! Isso q esse povinho tem que ter na cabeça oca deles;;;;;
neutro;neutro;não;Verdade;;;;;
neutro;neutro;não;Amo;;;;;
neutro;neutro;não;Gostei muito parabéns 👏 👏 👏 👏 👏;;;;;
neutro;neutro;não;Foi uma fatalidade 😢;;;;;
positivo;positivo;não;darrr... é  o habitat da onça sim, mas tb era o habitat das pessoas;;;;;
neutro;neutro;não;"&#39;&#39;deus,,não pode salvar o rapaz do animal, mas conforta a família ele pode,pensa num deus, inútil, gente deus não existe, deus é somente uma criação dos homens.";;;;;
neutro;neutro;não;Essa onça capturada pareci que tem metade do tamanho da outra que,a câmera filmou no sítio🤨🤔;;;;;
neutro;neutro;não;"Onça   Pelo  Jeito ;  perigo  imagina. Os gatos  Caseiro   já tem. Muita. Esperteza";;;;;
neutro;positivo;não;Esse amigo dele, deve estar chateado ao ver este vídeo! Que Deus conforte o coração da família e deste amigo dele!;;;;;
neutro;neutro;não;É as palavras tem poder o cunhado falou que o seu Jorge ia ser comido pela onça e infelizmente aconteceu tem que vigiar o o fala;;;;;
neutro;positivo;não;Deus console também a família deste caseiro. Eu que não queria este emprego!;;;;;
neutro;positivo;não;Também fiquei com dó dele 😢 imagina sozinho e já idoso sendo atacado por um bixo desses;;;;;
neutro;neutro;não;TOP;;;;;
neutro;neutro;não;perfeito.;;;;;
neutro;neutro;não;Só quer like só esse cara aí só like entendeu passa saber o que que aconteceu não passa saber o que que tá acontecendo;;;;;
neutro;neutro;sim;Essa  não  é  a  onca  q  matou  o  caseiro .<br>Conversa  fiada;;;;;
neutro;positivo;não;Que Deus Conforte Os Familiares 😔🙏;;;;;
neutro;neutro;não;Conhecer o Pantanal? Nem a pau Juvenal! Quero distância!;;;;;
negativo;neutro;não;Moço eu já ia sumir daí correndo <br>Deus me livre .<br>E o pior q ce vc mata umas dessas <br>Vc pega uma cadeia terrível.  Não sei qual o pior mata ou morrer .;;;;;
negativo;neutro;não;Pra onde for a onça vai comer mais um, isso é certo?;;;;;
neutro;neutro;não;vai ser  alimento deles  seu inutil;;;;;
neutro;neutro;não;Tem que deixa o Lula mora aí um dias 😅😅😅😅;;;;;
negativo;neutro;não;@@MidianAlborghetti sei  E como eu sei já matei foi 2 na minha fazenda;;;;;
neutro;neutro;não;A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis.;;;;;
neutro;neutro;não;É verdade será que foi a onça que eles capturou que pegou o seu Jorge pode ser outras;;;;;
neutro;neutro;não;Jaime, em que cidade o fato aconteceu?;;;;;
neutro;neutro;não;So resgataram uma e as outras duas que rodeam ali?;;;;;
neutro;neutro;não;Essa é a pergunta que não quer calar.;;;;;
neutro;neutro;não;Será que é a mesma;;;;;
neutro;neutro;não;Se Jorginho tinha filmado pisada deela porque não trancou tudo;;;;;
neutro;neutro;não;Se tivesse um Rotwaller  solto,a história  não seria essa.;;;;;
positivo;neutro;não;Ela não tem culpa. Não sabe o q faz. Deve ser fome.;;;;;
neutro;neutro;não;😢😢😢😢😢😢;;;;;
neutro;neutro;não;Muito bom;;;;;
neutro;neutro;não;Eh, vai ligar...;;;;;
neutro;negativo;não;"O cara mora no pantanal, um lugar com milhares de onças e não tem uma arma ou ao menos uma boa faca sempre na mão; parece que não se preocupava com isso.";;;;;
positivo;neutro;não;Para de falar besteira, o bicho é tão caçado e queimado na floresta que tá quase em extinção.;;;;;
neutro;neutro;não;É fácil dominar uma onça é pegar na orelha é fichinha;;;;;
neutro;neutro;não;Infelizmente não ia adiantar a onça pegou ele fora da casa quando ele foi olhar os barcos na beira do rio;;;;;
neutro;positivo;não;@lailasousa6939  esse lugar Touro morto é o centro do Pantanal, um lugar isolado sem ninguém por perto um indivíduo tomando conta de lugar como esse você acha que é um lugar para se morar com sua família na opinião não até porque  agente não qual o motivo que estava naquele lugar agente so sabe que era caseiro será se o patrão pagava todos os direitos trabalhista para ele a família é que vai buscar essa informação.;;;;;
negativo;negativo;não;O animal já tava observando só que ele não percebeu o risco, infelizmente esses ambientes não são os primeiros;;;;;
neutro;neutro;não;Q nada <br>Nunca ganhei na mega sena ...mesmo afirmando e jogando;;;;;
neutro;neutro;não;Palavras tem poder sim!!!<br>Um dia meu filho fazia muita birra e raiva pra mim porque não queria ir na creche, daí eu gritei assim  vai logo bosta!!! Consegui levar ele  e quando coloquei o pé em casa a tia da creche ligou me avisando para buscar pois estava com diarreia e ela não conseguia fazer parar kkk. Quando eu chegou lá ele tinha bosta nas mãos, na boca  nas roupas e cabelo. A palavra dita com intensidade tem muito poder e se você tem dom de profetizar daí que é perigoso o negócio acontecer no mesmo dia.;;;;;
neutro;negativo;não;Uma arna de choque já livrava esse homem da morte. Quer morar no meio da fauna onde tem cobras, Jacaré, onça é claro que tem que se precaver com segurança e isso o velho não fez.;;;;;
neutro;negativo;não;Mas foi avisado pra mim foi um conselho,  quem avisa amigo é já dizia meu pai.;;;;;
neutro;neutro;sim;Uma onça adulta chega a pesar 180kg. Bem nutrida.;;;;;
neutro;neutro;não;Pior é que ouviram? A onça estava magra 😮😮😮😮 PQP;;;;;
neutro;neutro;sim;Uma vez eu fui pescar aqui em São Paulo e apareceu duas onças pintada como essa aí do video e elas me atacou, aí eu dei umas varadas nelas com minha vara de pesca e as duas fugiram;;;;;
neutro;neutro;não;História de pescador;;;;;
neutro;neutro;não;😮😢;;;;;
neutro;neutro;não;DEUS E MAIS;;;;;
neutro;neutro;não;Mora em região com Onça? Compre 2 ou 3 filas Brasileiros. Esses cachorros atacam em conjunto, vigias, percebem as onças a distância, e atacando em conjunto, afugentam as onças. São cachorros onceiros, capazes de defender um rebanho inteiro de bois e ataques de onça.;;;;;
neutro;neutro;não;Manda pra Luisa Mel;;;;;
neutro;negativo;não;Ele viu as pegadas da onça ele ele tinha fazer oque fica espert ne. E atento.;;;;;
neutro;negativo;não;Morreu de graça. Pediu pra morre;;;;;
neutro;positivo;não;Fica em paz 😢😢😢;;;;;
neutro;neutro;não;😢 56😭😭😭🤯;;;;;
neutro;neutro;não;E isso falou na  escola sobre o Jorge  da onça mn;;;;;
neutro;neutro;não;Piricoso um😮😮😮😢😢💔💔👿👿👣👣 não 🚫 não  decho pegando 😢😢😔😔🙏🙈🤕❤️🧡💛💚💙💜🤎;;;;;
positivo;neutro;não;Ainda bem que não foram os caçadores que a encontrou.;;;;;
negativo;neutro;não;Foi atras da caca dela mesmo depois q pegaram. Bicho inteligente e incansável;;;;;
neutro;positivo;não;Muito triste, infelizmente o homem morreu 😢;;;;;
neutro;positivo;não;Ele era o meu tio avô irmão da minha avó 😭😭😭😭😭<br><br><br><br><br><br>Não é brincadeira;;;;;
neutro;neutro;sim;A grande verdade é que quando qualquer animal carnívoro experimento do sangue humano é que nem o ser humano experimentando a droga mais viciosa do mundo a onça sempre vai preferir agora comer carne humana e por isso que em muitos lugares do mundo sempre que existe um animal que ataca o ser humano a fim de se alimentar o mesmo é sacrificado;;;;;
neutro;neutro;sim;"De tanto se preocuparem em preservar somente os animais predadores, ñ demora muito estarmos vivendo conforme o filme: &quot;A SOMBRA E A ESCURIDÃO&quot;";;;;;
positivo;positivo;não;Vi as fotos e soube do caso pelo portal zacarias, tinham gente comentando que deveriam matar a onça, gente vamos raciocinar é um animal selvagem ela não mata por maldade apenas por instinto de sobrevivencia...meus pêsames a Familia e que Deus conforte a todos 🙏;;;;;
neutro;negativo;não;Podia ter evitado.;;;;;
neutro;neutro;não;Se vc tiver um encontro com uma onça  e sair vivo ne ai dar de procurar a policia ambiental rsrs😂;;;;;
negativo;neutro;não;Ah eu moro em uma chácara se eu ver algum rastro de onça.. vamos ficar atento até da um fim nela... antes ela do que eu! 😅😅;;;;;
negativo;neutro;não;Ah eu já vi a onça pintada minha mãe mostrou meu Deus atacou o meu Deus😱😱😱😱😱😱😱😱😱😰😨😥🫣🐆;;;;;
positivo;negativo;não;"Infelizmente,  as pessoas não levam a sério o grau de perigo que correm, ainda que sabendo da frequência com que a redondeza de onde vivem, tem sido &quot;visitadas&quot; por felinos de grande porte...<br>Que essa tragédia sirva de lição  aos que não se atem ao risco que correm.<br>Mesmo aqui no litoral do Rio de Janeiro, há cerca de uns 3 a 4 anos atrás, um jovem foi encontrado morto, na praia do meio, em Barra de Guaratiba, vitima de um felino de grande porte...  <br>O governo se preocupa mais com a preservação da fauna animal,  do que com a preservação do ser humano!!!<br>Falam do risco de extinção  dos animais selvagens, mas não  atentam pro crescimento  do número de casos como esse do caseiro, e abafam muitos outros.<br>O indice de felinos de grande porte vem crescendo bastante, e os ataques a pessoas idem. <br>Registros deles andando pelas cidades vem aumentando... aqui nas Vargens do Rio de Janeiro existem varias filmagens noturnas de cameras que provam isso. Busque no youtube mesmo, e vai constatar.";;;;;
neutro;neutro;não;Amém 😢❤🙏🏻😭😭;;;;;
neutro;negativo;não;O problema que esse senhor confiou demais deu vacilo, que Deus o tenha😢;;;;;
neutro;negativo;não;Seu Jorge não era amigo da onça.🤔;;;;;
neutro;positivo;não;Que fatalidade!!!!<br>Deus conforte a família e amigos.;;;;;
negativo;neutro;não;Onde tem onça tem que ter pólvora, a pólvora faz as onças respeitar as pessoas e a temelas kkkk aqui na fazenda na nossa região as onças tem mais medo de gente que rato tem de gatos kkkk, quando elas aparecem são postas para correr com cão 🐕  de caça e fogos de artifício não fica uma, e raramente alguma delas volta pra ser abatida aff, da mesma forma que você vai até a mata para caça o animal,  o animal vem até aos arredores da sua casa para te caça,  e qualquer animal que estiver rondando de mais sua resistência aff sinto muito mais você tem que abater o mais rápido possível 😂😂😂😂😂, . E vida que se segue gente aff;;;;;
neutro;neutro;não;😱🐅;;;;;
neutro;neutro;não;"fica aqui  um alerta! vigie o que vai sair de sua boca! mesmo num tom de brincadeira, a frase &quot; a onça vai comer o Jorge &quot; foi profética, quem proferiu essa frase, poderia ter dito palavras de livramento, mas usou sua boca pra dizer uma condenação.";;;;;
positivo;neutro;não;Na verdade a mata é o habitat dos animais, os seres humanos vai transformando o meio ambiente e os animais sentem ameaçados.;;;;;
neutro;neutro;não;"<a href=""https://www.youtube.com/watch?v=CUf1T3dPFj4&amp;t=84"">1:24</a> “o dao a onça vai comer o jorge dão”";;;;;
positivo;neutro;não;A onça não tem culpa;;;;;
neutro;neutro;não;Muito triste é por isso que eu não confio nessas estatísticas de que onça não atacar ser humano 😢;;;;;
neutro;neutro;não;Se la tem câmera provavelmente tem o vídeo do acontecido pra que tanta conversa se as câmeras podem provar a verdade;;;;;
neutro;positivo;não;Meus sentimentos à família da vítima.<br>Agora, não poderei deixar de dar minha opinião sobre o caso.<br>Estão esquecendo quê foi uma vida interrompida,  e pelo quê vi, a vítima foi retirada do seu próprio quintal de casa, e vejo pessoas defendendo o animal,  me desculpe,  más alem de ter feito uma vítima,  essa vítima, deixou familiares,  então respeite os familiares,  é triste ver quê dão mais valor em um animal selvagem, quê em uma vida humana.;;;;;
neutro;neutro;não;Parabéns pelo o vídeo e as explicações 🇧🇷;;;;;
negativo;neutro;não;"PARA OS IGNORANTE.. a &quot; vdd &quot; é que a &quot; verdadeira  &quot; onça foi morta,  e a capturada outra que ficaria pela região,  e pra ser  sincero.. se eu fosse parente,  conhecido ou até mesmo morador  da região,  sinto muito imbama,  eu iria preso mas esse bicho não ficaria vivo ... vcs deixem de ser burros , que não precisa morar na região pra entender que esse bicho seria morto e outro colocado no lugar , até porque  foi um caso divulgado na mídia,  é óbvio que eles iriam querer fazer entender que os &quot; animais  &quot; são preservados,  mas a realidade é que nessaa região bicho brabo não tem passada de mão na cabeça.";;;;;
neutro;neutro;não;Não no tenho 😫😫😫😫😫 que mundo é esse tão cruel que a gente vive vai na paz irmão fica com Deus;;;;;
negativo;neutro;não;Dizem que depois que devora carne humana, ela acostuma, correndo risco de atacar mais humanos;;;;;
neutro;neutro;não;Que rabanete é esse que ele fala no vídeo?;;;;;
neutro;neutro;não;No mesmo dia que eu visse as patas da onça no quintal, eu ia embora sem pensar duas vezes.;;;;;
neutro;neutro;não;Pega essa onça ai e coloca dentro da mansão do Bolsonaro com toda família dele la dentro 😂😂😂😂😂😂 ai eu quero vê;;;;;
positivo;positivo;não;Bicho lindo, maravilhoso eles matam pra matar a fome ao contrário do se humano que mata por prazer, meus pêsames aos familiares;;;;;
negativo;positivo;não;Se o seu Jorge fosse da minha família era: prendeu matou;;;;;
positivo;negativo;não;O homem invade o habitat da onça pela ganância, ela defende o território dela e tudo é culpa da onça.;;;;;
positivo;neutro;não;a onça tá bem?;;;;;
neutro;neutro;não;Larga essa onça, lá no STF....pra ver a correria....kkk;;;;;
neutro;neutro;não;Um caseiro não tem uma arma pra se defender ?;;;;;
negativo;neutro;não;Cachorro de raca, esses bichos perigosos deveriam ser mantido presos.;;;;;
neutro;neutro;não;O Homem é mais importante que o animal selvagem.;;;;;
neutro;positivo;não;Parabéns bela reportagem com respeito  apenas relatando os fatos;;;;;
neutro;neutro;não;"COLOCARAM OS CAITITUS COMO AMEAÇA E DESTRUIÇÃO DE LAVOURAS= AÍ OS CAC´S  CAIRAM PRA DENTRO DEVORANDO O CARDÁPIO DAS ONÇAS= A CAÇA  PREDATÓRIA FAZ COM QUE OS HOMENS SEJAM CAÇADOS OU NÃO?=OU RETROCEDE NA LEI DA CAÇA AOS CAITITUS OU MAIS CORPOS APARECERAM=CREIO EU PQ A NATUREZA REAGEM CONFORME A PRECISÃO CONTRA A EXTINÇÃO!!&quot;TOD@S NÓS SOMOS CULPADOS AO ASSISTIR CALAD@S.LEIS DESFAFORECENDO A CADEIA ALIMENTAR!!&quot;";;;;;
neutro;neutro;não;👍✌️🙏;;;;;
neutro;neutro;não;Oiok 🙌🙏🫡👏👏👏;;;;;
positivo;neutro;não;"Palavra tem poder viu ,&quot;onça vai comer o Jorge&quot;<br>Tadinho tava com fome normal e ele confundiu achou a ela queria amizade mas n";;;;;
negativo;neutro;sim;Ę preciso os legisladores  fazer legislação  para extinção de animais assassinos. Pq à medida q  vem ocorrendo , esses animais  assassinos  tanto onça,  sucuri ... vem ganhando espaço  no meio da população. <br><br>Se nada for feito contra essa prática,  esses animais assassinos irão devorar /destruir todo produtor  rural  <br><br>Ę preciso providências  cabíveis. <br><br>Para a conservação  da fauna,  não precisa desses animais assassinos,  onça,  sucuri ...;;;;;
negativo;positivo;não;Eu num lugar deste  , ou iria embora  ou  quebrava  esses bichos na bala  , pois o mais importante seria a minha vida , que Deus console todos da sua família e amigos  !!!..😢🙏🙏🙏;;;;;
neutro;neutro;não;Gatinho bom de passear no STF..😮😮😮😮;;;;;
negativo;negativo;não;Desde a primeira vez qué ele viu ela perto dá casa era pra ele atocaiar ela e tacar chumbo na cara dela ele demorou de mais e olha o que acoteçeu;;;;;
neutro;neutro;não;Parabéns pela reportagem!;;;;;
neutro;neutro;não;Ela foi sacrificada???;;;;;
neutro;neutro;não;"Solta no jardim do LULADRAO <br>Depois vai fazer &quot;serão&quot; no STF .<br>Depois de encher a pança manda para o congresso .";;;;;
negativo;neutro;não;Muita    frieza   né.   Onça  q devora    um   ser   humano,   é      cuidada    como   se  fosse   a   vitima.    Nesse   mundo  não   tem   justiça.    Um    animal    devora    um   ser   humano.... E   muito   bem   cuidada.   Vcs     faz    isso   porque    não   foi   cm   seus   parente.   Isso    é   revoltante.;;;;;
neutro;neutro;sim;Um colega meu conseguiu a foto sem censura do corpo dele e mostrou pras pessoas da sala, nem dava pra saber que era ele....;;;;;
neutro;positivo;não;Triste mais não tem nenhuma proteção em volta da casa dele que poderia proteger o Sr Jorge misericoordiaaaaaa;;;;;
positivo;negativo;não;Tem que tirar essa gente daí não os animais aí é o lugar deles não de gente .;;;;;
positivo;negativo;não;A onça tá no lugar dela, o homem é que não deveria está lá, estão destruindo o abtate dos animais, mais tudo é culpada do agro que não se contenta com nada e precisa destruir a natureza e tudo que ali vivi;;;;;
negativo;neutro;não;Uma arma de fogo resolve isso rápidinho;;;;;
positivo;positivo;não;Meus sentimentos aos familiares ,mas a onca nao tem culpa,infelizmente nós humanos que cada vez mais estamos adentrando e acabando com o espaco dos bichos !!! 😢😢;;;;;
neutro;neutro;não;Capturaram a onça como se fosse um ser humano. O habitat é da onça e não da vítima.;;;;;
negativo;neutro;sim;Extinção??? Quem TÁ correndo riscos de extinção é o ser humano ELAS que estão atacando o homem ☹;;;;;
neutro;neutro;não;Reportagem excelente!!  Meus sentimentos aos familiares!!;;;;;
neutro;neutro;não;A natureza sempre teve seu lugar que Deus deixou o ser humano que invade o espaço dos animais;;;;;
negativo;negativo;não;O cara é songa monga mesmo . Pediu p ser comido pelo bicho. O animal é selvagem e fera perigosíssimo.  Por q quis ele com tanto bicho na mata? Tava fácil demais né? Foi avisado . Não acreditou.  Não foi sábio nem vigilante.  Cadê os cachorros dele.  As armas.   Se tivesse uns 3 pit iria salvar sua vida . Foi muito vacilante o Jorge . Infelizmente terminou em tragédia anunciada.;;;;;
neutro;neutro;não;vai dar tempo de alguém procurar kkkkkkk se ela tiver com fome e so 2 tapinha e tchau;;;;;
neutro;negativo;não;“Amigo da onça? Amigo de onça é carne fresca!” 🍷🗿;;;;;
negativo;neutro;sim;Nasci em Caceres MT meu psi serviu o exército  lá. Ele me disse qye a oncarondava a casa para né comer. Mais Deus tinha um propósito  na.minha vida agirá eusei me livrou eu minha mãe e meu pai  graças a;;;;;
neutro;neutro;não;Pelo amor de Deus 🙏🏽 Onça não é gato 🐈🐈🐈;;;;;
neutro;neutro;não;Um caseiro tem que está armado. Caramba 😧.;;;;;
negativo;neutro;sim;Seres humanos coabitando no mesmo ambiente de onças selvagens.  Qualquer hora poderia acabar nisso. Qde o IBAMA?  Misericordia órgãos responsáveis  pla defesa e do ambiente brasileiros?. Já  existem  diversos estudos que o nosso bioma difere dos animas se deixá-los aproximar , crianças, mulheres, adolescentes e idosos poderão  ser vitimas.;;;;;
neutro;neutro;não;🌎🌍🌏🍫🗺;;;;;
positivo;positivo;não;Diz assim até ocorrer com seu pai, sua mãe, irmãos, filhos, etc. Tenhamos mais empatia pelo próximo e pelos animais também. Guarde seus pensamentos perversos somente para si.;;;;;
positivo;neutro;não;Espero que isso não dê vazão a uma perseguição às onças pantaneiras;;;;;
neutro;neutro;não;Triste!;;;;;
neutro;neutro;não;Deveria ser feito um passeio específico neste local de políticos de Brasília do a noite pra contemplar <br>A natureza;;;;;
negativo;neutro;sim;Ah mais está tudo bem, animal hoje em dia tem.mais valor que gente;;;;;
neutro;neutro;não;Tem que capiturar os outros dois o mais rápido possível;;;;;
neutro;neutro;não;Gente, mas sabiam que a onça estava próximo a residências e só foram pegá-la após uma morte?;;;;;
neutro;positivo;não;Se fosse  o coitado  do homem  ter matado a onça  ele estaria preso  né.;;;;;
neutro;neutro;não;Mas eles não tenham certeza se é essa onça mesma pq tem outras vai q eles capturaram a onça errada;;;;;
negativo;positivo;não;A onça já deu os sinais de que estava com fome, ou seja era o caseiro ou algo que iria matar a fome, infelizmente ele foi o alvo certo pra ela, Deus conforte os familiares;;;;;
positivo;neutro;não;Não entendi o porquê tirar ela do seu convívio,se ela está magra, é culpa do próprio homem que invade seu habitat natural,as caças estão ficando mais difíceis pra eles, é mais fácil tirar o animal do que freiar o desmatamento na Amazônia 😡😡😡;;;;;
neutro;positivo;não;Excelente reportagem, muito esclarecedora e sem se nacionalismo.<br>Meus sentimentos aos amigos e familiares.;;;;;
positivo;neutro;sim;O homem invadiu o espaço dos animais e eles estão ficando sem alimentos, por isso os ataques. Tenho dó da onça pq vão tirá-la do seu  ambiente;;;;;
positivo;neutro;não;Tadinha da oncinha. Ela só queria fazer um lanchinho.;;;;;
negativo;positivo;não;Tinha que meter o dedo ,  isso não serve pra nada . A vida humana em primeiro lugar;;;;;
neutro;neutro;não;To comedo de sair agora.;;;;;
neutro;neutro;não;PERGUNTA QUE NÃO QUER CALAR... ONÇA OU ONÇO KKKKKKKKKK🤭🤭🤭🤭;;;;;
neutro;neutro;não;Eles deixaron a onça ate a morte do caseiro para procurala... muito ruim isso 😢😢;;;;;
negativo;neutro;não;Leva pra criar em casa besta fera,pra comer um familiar teu;;;;;
negativo;neutro;não;Infelizmente conseguiram pegar a onça depois q tirou a vida do rapaz;;;;;
positivo;neutro;não;Ainda bem que não mataram;;;;;
negativo;positivo;não;Para mim estaria de parabéns se tivesse soltado um tiro na cara dela espero que ela não se solte e não faça com eles o mesmo que fez com o Seu Jorge que tristeza perder um ser humano e uma onça ficar viva ainda passar por exames e cuidados;;;;;
negativo;negativo;não;É a Lei da selva...se vc não caça acaba sendo caçado...era só seu Jorge deixar um lanchinho envenenado depois enterrava ninguém precisava saber uai;;;;;
neutro;neutro;não;Se o homem tivesse matado a onça pra se defender ele já estava na cadeia mas foi ao contrário a onça tá sendo protegida.cuidado esperimentol sangue ela vai querer maís;;;;;
